strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,mask,corr_range_m
fscs_200,158,0.0629668297887504,0.0838474455209214,32.70799597656418,17.43826778759881,0.8481012658227848,0.7025316455696202,0.5759493670886076,0.9102017100831704,mask_off,300
fscs_150,158,0.0709274240550053,0.0987576431980037,31.670895711290093,16.84873253689568,0.8481012658227848,0.689873417721519,0.5632911392405063,0.9091525859378674,mask_off,300
random_150,158,0.0710254430615945,0.0954546902300877,31.01459101996141,16.70107178331719,0.8481012658227848,0.6772151898734177,0.5253164556962026,0.908285831135279,mask_off,300
feature_diverse_150,158,0.0715031127536799,0.0985002744501561,33.06733637533446,18.97754743649192,0.8607594936708861,0.7215189873417721,0.5822784810126582,0.9005366245010737,mask_off,300
spatial_thin_100_cap150,158,0.0738794448977862,0.115929114071085,37.78146464149134,21.12490468511146,0.9240506329113924,0.7658227848101266,0.6392405063291139,0.8923414120451588,mask_off,300
hybrid_150_diverse_150,158,0.079171441126175,0.1265510532968618,39.78644499460841,23.093728789945036,0.930379746835443,0.7974683544303798,0.6582278481012658,0.8850139648026975,mask_off,300
spatial_thin_150_cap150,158,0.0823666782993393,0.1276655563609426,39.8785299853203,22.2426925886492,0.9367088607594936,0.7974683544303798,0.6582278481012658,0.884486140083752,mask_off,300
feature_diverse_100,158,0.0839430035316321,0.1104770003203906,31.38866893865905,19.11354674780286,0.8670886075949367,0.7278481012658228,0.5443037974683544,0.883278765422208,mask_off,300
random_100,158,0.0844481732965202,0.1196082223826933,28.656108002739582,16.415419370310243,0.8354430379746836,0.6835443037974683,0.4556962025316455,0.9083628665278,mask_off,300
fscs_100,158,0.0872266727990822,0.1164670717610807,28.97499695230402,16.27057747478591,0.8417721518987342,0.6772151898734177,0.4936708860759494,0.9078238703733376,mask_off,300
spatial_thin_100_cap100,158,0.089218885828494,0.1286715561286095,33.86640405053497,19.91858588381232,0.9177215189873418,0.7468354430379747,0.5949367088607594,0.8958081802526902,mask_off,300
spatial_thin_150_cap100,158,0.0917735396849638,0.1325386366202106,38.049022173492745,22.363154679686325,0.930379746835443,0.7911392405063291,0.6645569620253164,0.8885022209382358,mask_off,300
hybrid_150_diverse_100,158,0.0926838767953255,0.1284381822691023,38.97364179397859,23.149829836811616,0.9240506329113924,0.7974683544303798,0.6518987341772152,0.8726603879698135,mask_off,300
spatial_thin_250_cap150,158,0.0975120562809171,0.1493221094133254,42.47339788155973,25.088534022170062,0.9430379746835444,0.8227848101265823,0.6708860759493671,0.8719221812733811,mask_off,300
