parent_id,parent_label,dor_median_v2,category_v2,dor_knn,dor_median_v3,category_knn,category_median,dor_change,changed
00000000000000000632,crop_loss,0.0770125482209059,degraded,0.1507152913470967,0.0770125482209059,degraded,degraded,0.07370274312619081,False
0000000000000000063e,crop_loss,0.3011323999569301,degraded,0.3817003942133006,0.3011323999569301,indistinguishable,degraded,0.08056799425637051,True
00000000000000000655,crop_loss,0.5072721853525394,indistinguishable,0.7047678808985985,0.5072721853525394,recovering,indistinguishable,0.19749569554605917,True
00000000000000000697,crop_loss,0.6232506422547099,recovering,0.5917717182746548,0.6232506422547099,indistinguishable,recovering,-0.03147892398005514,True
00000000000000000698,crop_loss,0.4220623891515007,degraded,0.4748320139896273,0.4220623891515007,indistinguishable,degraded,0.05276962483812664,True
000000000000000006a8,crop_loss,0.3025854772581186,degraded,0.2671366117267241,0.3025854772581186,degraded,degraded,-0.03544886553139448,False
000000000000000006b4,crop_loss,0.5260506773701435,indistinguishable,0.70058537293374,0.5260506773701435,recovering,indistinguishable,0.17453469556359646,True
000000000000000006be,crop_loss,0.4157927927841666,degraded,0.3784015557049882,0.4157927927841666,degraded,degraded,-0.03739123707917841,False
000000000000000006c0,crop_loss,0.1868185110225309,degraded,0.246165621114897,0.1868185110225309,degraded,degraded,0.05934711009236612,False
000000000000000006cc,crop_loss,0.3402652813504774,degraded,0.3719199601278487,0.3402652813504774,degraded,degraded,0.031654678777371326,False
000000000000000006ce,crop_loss,0.5805988982688876,indistinguishable,0.5451163456399601,0.5805988982688876,indistinguishable,indistinguishable,-0.03548255262892741,False
000000000000000006d9,crop_loss,0.1903515173556219,degraded,0.1819350925895245,0.1903515173556219,degraded,degraded,-0.008416424766097386,False
000000000000000006e5,crop_loss,0.5280159488960374,indistinguishable,0.4986373468876294,0.5280159488960374,indistinguishable,indistinguishable,-0.029378602008408028,False
