parent_id,parent_label_v1,applicable_v1,dor_median_v1,dor_median_ci_low_v1,dor_median_ci_high_v1,n_eff_min_v1,parent_label_v2,applicable_v2,dor_median_v2,dor_median_ci_low_v2,dor_median_ci_high_v2,n_eff_min_v2,dor_delta_v2_minus_v1,n_eff_min_delta_v2_minus_v1,category_v1,category_v2,category_changed
00000000000000000161,built_loss,True,0.6089192893019457,0.5554641437852428,0.6481318685286022,10.269825699870252,built_loss,True,0.6669426699012915,0.6385331968689986,0.7037560554383004,1.234524503447459,0.05802338059934575,-9.035301196422793,recovering,recovering,False
0000000000000000016a,built_loss,True,0.1395209423864861,0.1193982539296573,0.2202350046337458,3.672112038043592,built_loss,True,0.2475365050003912,0.2003486855711958,0.2907745667646855,1.2119841886959617,0.1080155626139051,-2.4601278493476304,degraded,degraded,False
0000000000000000016c,crop_loss,True,0.5865032762278531,0.4938625797275563,0.6706038716659062,6.295079177159194,crop_loss,True,0.4583489423814819,0.4173728031635375,0.4975546966567773,1.634127905415508,-0.12815433384637126,-4.660951271743686,indistinguishable,degraded,True
00000000000000000176,built_loss,True,0.5002752373185344,0.4790471544628813,0.5258031502443997,5.983397701003539,built_loss,True,0.6577268895390618,0.6267780320362933,0.6851242653693661,1.390527401290954,0.15745165222052737,-4.592870299712585,indistinguishable,recovering,True
00000000000000000192,crop_loss,True,0.5969269462996039,0.5780313670592317,0.6106123353212717,7.204262408900448,crop_loss,True,0.5633278845993202,0.5380406156341369,0.578534292044923,1.3233112400936986,-0.033599061700283706,-5.8809511688067495,recovering,recovering,False
00000000000000000196,crop_loss,True,0.4296135463776515,0.3778430325405634,0.4940631695318467,3.4444179365199363,crop_loss,True,0.2438537879987322,0.2228931374607655,0.2787550150483119,1.4344612084731163,-0.18575975837891928,-2.00995672804682,degraded,degraded,False
000000000000000001a6,crop_loss,True,0.368926574567659,0.3347880267450599,0.3921095456048493,9.102534124680751,crop_loss,True,0.2722528888927655,0.2183941012302108,0.3235283646548711,1.206002538177208,-0.09667368567489348,-7.896531586503544,degraded,degraded,False
000000000000000001a8,built_loss,True,0.5079947515908064,0.4508335531315909,0.545673153666142,8.599834353027058,built_loss,True,0.5869390663134306,0.5385937366107889,0.6387348301270054,3.2973140475781544,0.0789443147226242,-5.302520305448903,indistinguishable,recovering,True
000000000000000001be,built_loss,True,0.3375905691274529,0.2768075266265695,0.4005383115945816,1.7469745991834893,built_loss,True,0.5139802074309038,0.4777807935322721,0.5706171431267971,1.337877581449132,0.1763896383034509,-0.40909701773435736,degraded,indistinguishable,True
000000000000000001cd,built_loss,True,0.7644633419818139,0.7185508243795184,0.8076621124435239,9.836317171747446,built_loss,True,0.7599614133742899,0.714292796924866,0.7951419226314271,1.3321995271260143,-0.004501928607523964,-8.50411764462143,recovering,recovering,False
000000000000000001e4,crop_loss,True,0.580629874616769,0.5454295362325702,0.6226947192747813,6.709802568271449,crop_loss,True,0.4913037704735231,0.461509065696526,0.5181242206648732,4.440778915414226,-0.08932610414324588,-2.269023652857223,recovering,indistinguishable,True
000000000000000001e5,built_loss,True,0.5717042698391979,0.4945079944891906,0.6379911121263786,4.5372712606626,built_loss,True,0.5440990904736995,0.5015477126959432,0.6015998777745966,2.135818106524595,-0.027605179365498334,-2.4014531541380046,indistinguishable,recovering,True
000000000000000001f9,crop_loss,True,0.7993302646403085,0.7770698576162065,0.8232085191798909,3.84542621069273,crop_loss,True,0.6664625013811083,0.4427959006037145,0.7554579743990373,1.323576717423689,-0.13286776325920024,-2.521849493269041,recovering,indistinguishable,True
00000000000000000206,built_loss,True,0.2309228246267467,0.1892372069797099,0.4622535144028092,5.905575764302444,built_loss,True,0.7470837853266461,0.6989573593531417,0.7672588884720704,1.5226846841900223,0.5161609606998994,-4.382891080112422,degraded,recovering,True
00000000000000000209,built_loss,True,0.4930478301506332,0.4031459498030327,0.5670030650114347,6.227182073520733,built_loss,True,0.600126269845666,0.5660755350442288,0.6648115100944444,3.308861669149432,0.10707843969503278,-2.9183204043713005,indistinguishable,recovering,True
