dataset,parent_id,ref_state,n,r_cos_spatial,selected_median_km,remaining_median_km
candidate,00000000000000000278,good,100,0.13493693356237668,2.6663225283737364,2.190990223171893
candidate,00000000000000000281,bad,100,0.14917967098891585,0.9033706092015301,2.1733565226102254
candidate,00000000000000000281,good,100,0.07818747699445658,2.0159585029867593,1.8207848953366237
candidate,0000000000000000028c,bad,100,0.08306412674966492,1.3066556465545842,1.3243261664616885
candidate,0000000000000000028c,good,100,0.32411699667662636,0.6022392569073515,2.260485105041446
candidate,0000000000000000028d,bad,100,0.20446954541339096,1.8025158373696437,2.9911646779593535
candidate,0000000000000000028d,good,100,-0.10158308840030261,1.7324913692992157,2.3129407778962965
candidate,00000000000000000291,bad,100,-0.3989445192719846,2.6681990130055873,2.2249816974083996
candidate,00000000000000000291,good,100,-0.05137209321586271,1.1858892308890712,2.1985145698090114
candidate,00000000000000000293,bad,100,0.053448486064411334,2.1125790700803684,3.0330764488817796
candidate,00000000000000000293,good,100,0.043455164101426656,1.5778800334454415,2.2673644468809893
candidate,000000000000000002a4,bad,100,0.22784977852963767,0.7695588167342022,1.1279117535565724
candidate,000000000000000002a4,good,100,0.4617140166973385,2.07934208898672,2.4469338089827453
candidate,000000000000000002c5,bad,100,-0.1271349899497828,1.5320356201652556,1.3411781441856732
candidate,000000000000000002c5,good,100,0.02457628895619579,3.025742023399004,2.760501872222611
candidate,000000000000000002cc,bad,100,0.3585318804001635,0.9106686026328277,1.3166524576613523
candidate,000000000000000002cc,good,100,0.31521758275515865,1.494248957076422,2.4997329433325643
candidate,000000000000000002dc,bad,100,0.257771868385055,0.6294783521303866,2.027060030100662
candidate,000000000000000002dc,good,100,0.14622157010596637,2.6744084164440483,2.9142638804350325
candidate,000000000000000002e4,bad,100,-0.012572827187182042,1.2068939478942142,2.0982781353522073
candidate,000000000000000002e4,good,100,0.24104818041902829,3.3305731308043325,2.741423128556046
candidate,000000000000000002ec,bad,100,0.10728660391452935,0.7648646061209791,2.1495024261475435
candidate,000000000000000002ec,good,100,0.20378494546801834,1.5206398132241188,2.3932809747215855
candidate,00000000000000000314,bad,100,0.32780583885971465,0.644247521423745,1.7659134891146797
