parent_id,lon,lat,country_iso3,vote_dw,vote_wc100,vote_wc200,vote_worldcereal,vote_vida,vote_msbuildings,n_nature,n_crop,n_built,stable_class
00000000000000000372,27.490468903446626,-26.34664405217724,ZAF,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000037e,118.20019033715401,25.708570705867142,CHN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000383,9.09494817830389,36.49365417547771,TUN,crop,nature,nature,unknown,unknown,unknown,2,1,0,nature
0000000000000000038a,9.20445281143806,62.02161859347262,NOR,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000394,113.20977943928484,23.692302050660878,CHN,crop,crop,built,unknown,unknown,unknown,0,2,1,crop
000000000000000003a0,149.0892105392458,68.38699086521514,RUS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000003a7,96.93176750186863,20.353264139588617,MMR,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000003a9,46.280529701374654,50.97467621854122,RUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000003ac,139.5784771316872,-18.44236786720957,AUS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000003ad,103.34870307091961,1.0402041832462,IDN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000003f9,101.16525794133871,1.2893070115325431,IDN,unknown,nature,nature,unknown,unknown,unknown,2,0,0,nature
000000000000000003fb,137.73010360308288,-1.5220605016479112,IDN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000003fc,106.54302238972022,38.23216374483422,CHN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000003fe,27.78008575104676,52.934081516262715,BLR,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000401,-10.633672428472218,9.494788311265488,GIN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000418,115.94694610999703,32.080231184598496,CHN,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000435,-103.55872918434676,19.88407406669299,MEX,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
0000000000000000043f,45.28295057835993,31.97557745399857,IRQ,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000454,148.45895253590757,-29.927508437734478,AUS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000466,31.024171736587586,59.75624710998001,RUS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000046d,11.296988434266073,8.964422967521323,NGA,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
0000000000000000047b,38.92629196487337,36.66918498199466,SYR,crop,nature,nature,unknown,unknown,unknown,2,1,0,nature
0000000000000000048c,103.82894242180991,40.70585454271414,CHN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000499,112.74894369853153,33.36715766062812,CHN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000004a5,19.252109264314907,-4.122503586117102,COD,built,built,built,unknown,unknown,unknown,0,0,3,built
000000000000000004a9,-99.32559807099034,18.316334232847602,MEX,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000004ac,-42.15420827530005,-19.35316973377835,BRA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000004b4,-3.566356593718706,39.966541063883774,ESP,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000004c1,111.96920603191579,43.07803571348856,CHN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000004c3,36.34821693097876,-5.873050580280814,TZA,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
000000000000000004d0,38.23153492413533,4.169305812419729,ETH,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000004d4,35.918462899055974,11.332382056460382,ETH,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
000000000000000004f4,43.52907981764498,44.10660671380541,RUS,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
00000000000000000503,101.05207021553964,31.390684372508353,CHN,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000050d,-68.51562961390105,3.376812068769487,COL,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000050e,138.9612446999687,-33.513852546524845,AUS,crop,nature,nature,unknown,unknown,unknown,2,1,0,nature
0000000000000000051c,139.8280291176156,-35.415945329119516,AUS,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000522,79.67522072546105,12.516451432458323,IND,crop,crop,crop,unknown,unknown,unknown,0,3,0,crop
00000000000000000531,0.05421332739661312,41.143423917608764,ESP,crop,nature,nature,unknown,unknown,unknown,2,1,0,nature
0000000000000000053b,116.43823473888199,39.538853157114474,CHN,crop,built,nature,unknown,unknown,unknown,1,1,1,ambiguous
00000000000000000542,6.036454130462155,36.200983055911564,DZA,nature,crop,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000549,11.23796912009942,60.719869915255025,NOR,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
0000000000000000054a,36.55914135969002,47.66519288031649,UKR,crop,nature,crop,unknown,unknown,unknown,1,2,0,crop
00000000000000000565,13.275797342124553,37.53417276907335,ITA,nature,nature,nature,unknown,unknown,unknown,3,0,0,nature
