dataset,parent_id,parent_label,n_bad,n_good,n_eff_300m_bad,n_eff_300m_good,n_eff_min_300m,n_min
stable,0000000000000000020c,stable_crop,100,100,52.247223502038665,49.79549897380433,49.79549897380433,100
stable,0000000000000000020d,stable_built,100,100,12.810038122356678,61.09786785433083,12.810038122356678,100
stable,0000000000000000020e,stable_built,100,100,31.61453325652822,59.96646232110464,31.61453325652822,100
stable,0000000000000000020f,stable_built,100,100,27.225227136227,47.072995750582564,27.225227136227,100
stable,00000000000000000210,stable_nature,100,100,46.127674390564444,60.483664375291426,46.127674390564444,100
stable,00000000000000000211,stable_nature,100,100,62.847953949252144,54.22284414468363,54.22284414468363,100
stable,00000000000000000213,stable_nature,100,100,49.060483020078,54.39897353992528,49.060483020078,100
stable,00000000000000000214,stable_nature,100,100,9.732873626786594,61.01216875624471,9.732873626786594,100
stable,00000000000000000215,stable_crop,100,100,59.7247344528477,37.6860213330853,37.6860213330853,100
stable,00000000000000000216,stable_crop,100,100,11.05033474348138,62.6290196367546,11.05033474348138,100
stable,00000000000000000217,stable_built,100,100,47.626443509123064,52.77656386612193,47.626443509123064,100
stable,00000000000000000218,stable_crop,100,100,49.90059897825499,44.36774598543786,44.36774598543786,100
stable,00000000000000000219,stable_built,100,100,3.7990919850525926,64.77697936102993,3.7990919850525926,100
stable,0000000000000000021a,stable_nature,100,100,45.190328036267054,43.69707619934386,43.69707619934386,100
stable,0000000000000000021b,stable_nature,100,100,10.387061619291382,57.91797000163739,10.387061619291382,100
stable,0000000000000000021c,stable_crop,100,100,55.23042858206194,52.97246502220148,52.97246502220148,100
stable,0000000000000000021d,stable_crop,100,100,41.095246943150975,58.840195331441564,41.095246943150975,100
stable,0000000000000000021e,stable_crop,100,100,52.79831129180769,42.5009870957944,42.5009870957944,100
stable,0000000000000000021f,stable_built,100,100,7.714751996497373,59.95251631433998,7.714751996497373,100
stable,00000000000000000222,stable_nature,100,100,61.57495184271275,57.21515355636112,57.21515355636112,100
stable,00000000000000000223,stable_nature,100,100,57.13132501186206,55.70030393557266,55.70030393557266,100
