parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
00000000000000000607,stable_crop,500,97,98,0.15184530535365268,0.022290957909463893,0.12800870704142003
00000000000000000607,stable_crop,1000,89,90,0.15184530535365268,0.022290957909463893,0.12800870704142003
00000000000000000607,stable_crop,2000,64,71,0.17535644672621234,0.022290957909463893,0.1127814349520049
00000000000000000608,stable_built,0,100,100,0.10716577186865595,0.033528418149767106,0.23830705550199663
00000000000000000608,stable_built,500,100,91,0.10716577186865595,0.03657733187508243,0.2544632119537165
00000000000000000608,stable_built,1000,100,59,0.10716577186865595,0.03961958280615456,0.2699150940068796
00000000000000000609,stable_nature,0,100,100,0.09884504283790252,0.294099912111432,0.7484506631434018
00000000000000000609,stable_nature,500,98,100,0.09884504283790252,0.294099912111432,0.7484506631434018
00000000000000000609,stable_nature,1000,92,100,0.09884504283790252,0.294099912111432,0.7484506631434018
00000000000000000609,stable_nature,2000,74,96,0.10334899413886971,0.2954499389622287,0.740849371546812
0000000000000000060a,stable_crop,0,100,100,0.02379904871884624,0.010676667317070242,0.30968660101613854
0000000000000000060a,stable_crop,500,99,93,0.02379904871884624,0.019712254533734708,0.45303755713436156
0000000000000000060a,stable_crop,1000,95,85,0.02379904871884624,0.019712254533734708,0.45303755713436156
0000000000000000060a,stable_crop,2000,70,66,0.02379904871884624,0.01975099205638946,0.45352407723042004
0000000000000000060b,stable_nature,0,99,98,0.09658983990452645,0.05961812744966619,0.38165868527117974
0000000000000000060b,stable_nature,500,97,97,0.09828704611821695,0.06390275887948874,0.3939998502371878
0000000000000000060b,stable_nature,1000,93,87,0.09828704611821695,0.06925513864121342,0.4133594099912316
0000000000000000060b,stable_nature,2000,69,52,0.10902718660982158,0.08850041893488729,0.4480407621526493
0000000000000000060d,stable_nature,0,100,100,0.041706757559601626,0.060014151868434305,0.5899883534791072
0000000000000000060d,stable_nature,500,100,100,0.041706757559601626,0.060014151868434305,0.5899883534791072
0000000000000000060d,stable_nature,1000,91,94,0.04733291420432104,0.060014151868434264,0.5590665312380325
0000000000000000060d,stable_nature,2000,59,87,0.054545444664199305,0.060014151868434264,0.5238683941315619
0000000000000000060f,stable_nature,0,100,100,0.058822045294719835,0.18952163072063827,0.7631425682373917
0000000000000000060f,stable_nature,500,98,100,0.058822045294719794,0.18952163072063827,0.7631425682373918
0000000000000000060f,stable_nature,1000,94,92,0.058822045294719794,0.1937984065348543,0.7671524816400448
0000000000000000060f,stable_nature,2000,72,62,0.0688259262896062,0.1969169501219548,0.7410055644022037
00000000000000000610,stable_nature,0,100,100,0.013756429460698527,0.01296355053239313,0.4851631825794646
