parent_id,parent_label,min_dist_m,n_good,n_bad,dor_knn
000000000000000003f8,built_loss,500,198,143,0.3979469186657501
000000000000000003fa,built_loss,500,198,189,0.4159665871632022
00000000000000000407,built_loss,500,193,194,0.5713596131121458
0000000000000000040f,built_loss,500,200,186,0.6237022925707296
00000000000000000426,built_loss,500,191,194,0.6311101867759107
0000000000000000042b,built_loss,500,199,190,0.5871383280744135
00000000000000000442,built_loss,500,195,117,0.756739208571901
00000000000000000465,built_loss,500,192,197,0.6840081598364803
0000000000000000047e,built_loss,500,194,168,0.5123356467852913
00000000000000000490,built_loss,500,198,193,0.5073218035811956
000000000000000004c0,built_loss,500,199,192,0.5834704682460584
000000000000000004c5,built_loss,500,193,156,0.5755925445740249
000000000000000004d2,built_loss,500,198,198,0.8098074261010462
000000000000000004d9,built_loss,500,195,185,0.5543065642778773
000000000000000004eb,built_loss,500,199,198,0.5550760433703429
000000000000000004f5,built_loss,500,184,124,0.5051343842567148
000000000000000004f7,built_loss,500,197,192,0.44654323023879555
000000000000000004fe,built_loss,500,198,178,0.5380063691162611
0000000000000000051d,built_loss,500,194,167,0.5676040108214712
00000000000000000559,built_loss,500,195,195,0.7060715046222444
00000000000000000576,built_loss,500,197,123,0.3560467043441573
00000000000000000577,built_loss,500,196,150,0.5767260118839099
0000000000000000057f,built_loss,500,194,182,0.4632645727096422
00000000000000000594,built_loss,500,192,167,0.6728907797719288
000000000000000005ad,built_loss,500,191,199,0.5376472220835807
000000000000000005bd,built_loss,500,196,121,0.6027301381249149
000000000000000005bf,built_loss,500,196,199,0.42823679908100615
000000000000000005cc,built_loss,500,193,197,0.3449819750718199
000000000000000005de,built_loss,500,196,187,0.4200990127354957
000000000000000005e7,built_loss,500,195,191,0.47717892810469625
000000000000000005f9,built_loss,500,198,179,0.5953062347065129
0000000000000000061c,built_loss,500,196,180,0.5400834715874634
00000000000000000624,built_loss,500,189,179,0.43673016308562157
00000000000000000626,built_loss,500,196,198,0.47313806359967053
0000000000000000062a,built_loss,500,194,196,0.49739204984527424
00000000000000000636,built_loss,500,191,197,0.6071026727333083
0000000000000000064a,built_loss,500,197,7,0.45725208509499415
0000000000000000064d,built_loss,500,198,183,0.5094992497812905
00000000000000000694,built_loss,500,198,179,0.2264442819673442
0000000000000000069d,built_loss,500,191,196,0.675190499056457
000000000000000006b7,built_loss,500,196,188,0.4327121122711897
000000000000000006df,built_loss,500,198,182,0.593500138027866
000000000000000006e3,built_loss,500,185,187,0.7032165018606992
00000000000000000011,crop_loss,500,192,199,0.4885326466311432
0000000000000000002b,crop_loss,500,196,199,0.3949533538148712
0000000000000000002d,crop_loss,500,168,170,0.5286838966415275
0000000000000000003a,crop_loss,500,199,194,0.2242124562223647
0000000000000000009b,crop_loss,500,193,194,0.6032708979086859
0000000000000000009d,crop_loss,500,195,154,0.4006862543405203
000000000000000000a8,crop_loss,500,174,156,0.28341128627308665
000000000000000000da,crop_loss,500,178,196,0.6893978547922824
000000000000000000e3,crop_loss,500,190,195,0.42718035645903446
