strategy,parent_id,parent_label,x_obs_source,n_good,n_bad,n_eff_good,n_eff_bad,n_eff_min,dor,ci_low,ci_high,ci_width
fscs_200,00000000000000000001,built_loss,test_site,200,200,136.64882348588552,44.52865589960651,44.52865589960651,0.4597185945150216,0.43476859859727907,0.4787917926117837,0.04402319401450461
fscs_200,00000000000000000049,built_loss,test_site,200,200,112.0446273140844,6.868404964334398,6.868404964334398,0.48898259692340235,0.4730212820049076,0.5015949754275296,0.028573693422622004
fscs_200,0000000000000000004f,built_loss,test_site,200,200,131.81088612661998,81.85425259476303,81.85425259476303,0.4424675076364737,0.3987526114136592,0.4686501319802835,0.0698975205666243
fscs_200,0000000000000000005a,built_loss,test_site,200,200,121.65111704014278,77.24529356560534,77.24529356560534,0.44413708886590064,0.4268035454472016,0.45818104139484,0.03137749594763839
fscs_200,00000000000000000079,built_loss,test_site,164,158,113.62576345825198,114.90679677076005,113.62576345825198,0.6285656778827687,0.596412382927481,0.6681422326214534,0.07172984969397245
fscs_200,00000000000000000087,built_loss,test_site,200,200,132.1728977099534,122.29093441336236,122.29093441336236,0.6189161612199339,0.5529794194116544,0.6537661546363273,0.10078673522467285
fscs_200,000000000000000000a1,built_loss,test_site,200,200,135.61226767797294,20.47983364970375,20.47983364970375,0.44838368138284757,0.41550809896602103,0.461664697699465,0.046156598733443965
fscs_200,000000000000000000b8,built_loss,test_site,200,200,145.66642396290385,32.580421086838626,32.580421086838626,0.5390706736081693,0.46776484274819174,0.5788771417148294,0.11111229896663766
fscs_200,000000000000000000c0,built_loss,test_site,200,200,95.46261074272736,104.86523067122911,95.46261074272736,0.6323537750954216,0.6078761093889835,0.6527293733522334,0.044853263963249845
fscs_200,000000000000000000e2,built_loss,test_site,200,200,144.68427577187936,41.581558949308395,41.581558949308395,0.3887760596565668,0.3620045786315302,0.42523911670161096,0.06323453807008078
fscs_200,000000000000000000f0,built_loss,test_site,200,200,128.24351884118045,90.17033248013303,90.17033248013303,0.6800571723317154,0.6430672720241701,0.7131554818098444,0.07008820978567432
fscs_200,000000000000000000f8,built_loss,test_site,200,200,142.7343593716347,106.49302475375293,106.49302475375293,0.5340598044969568,0.5054970859344072,0.5691919560751805,0.06369487014077324
fscs_200,0000000000000000011c,built_loss,test_site,200,200,154.00331831037505,16.65574853598957,16.65574853598957,0.728280888669927,0.7119186122332681,0.7459416632994119,0.034023051066143783
fscs_200,00000000000000000161,built_loss,test_site,200,200,130.9809726981574,103.60214087260256,103.60214087260256,0.6558809060800027,0.6274658461165734,0.6777778810949983,0.05031203497842485
fscs_200,0000000000000000016a,built_loss,test_site,200,200,138.57925897276385,14.883159784531417,14.883159784531417,0.24091558459698398,0.2164193148512091,0.26772300731042614,0.05130369245921704
fscs_200,00000000000000000176,built_loss,test_site,200,200,140.3958738851472,72.38162202345555,72.38162202345555,0.657697684861151,0.6378862490154186,0.6754705870378058,0.037584338022387254
fscs_200,000000000000000001a8,built_loss,test_site,200,200,116.551984048839,115.58539031050061,115.58539031050061,0.5502024405018302,0.5176348757184965,0.577573612224838,0.05993873650634152
fscs_200,000000000000000001cd,built_loss,test_site,200,200,117.65413175001818,128.18649082004583,117.65413175001818,0.7645390151438535,0.7290263640427124,0.799784782775758,0.07075841873304567
fscs_200,000000000000000001e5,built_loss,test_site,200,200,88.76369853383405,47.15744138671881,47.15744138671881,0.5687660957226895,0.5463580085716386,0.6054347697045707,0.05907676113293203
fscs_200,00000000000000000209,built_loss,test_site,200,200,128.7972248652517,119.75587990401934,119.75587990401934,0.6304462100330996,0.5800378499216071,0.6550600642421697,0.07502221432056255
fscs_200,00000000000000000231,built_loss,test_site,200,200,129.41253879340854,116.51324431332154,116.51324431332154,0.5335142436243089,0.5115991040246355,0.5719875854362662,0.06038848141163067
fscs_200,0000000000000000026d,built_loss,test_site,200,200,127.44633198912872,81.77795924499564,81.77795924499564,0.593458647088699,0.5681829160992747,0.6262039458751285,0.05802102977585377
fscs_200,00000000000000000278,built_loss,test_site,172,172,96.1092830676934,99.35346216175536,96.1092830676934,0.7796458866588776,0.7410314403518659,0.8025022784705161,0.061470838118650284
fscs_200,00000000000000000293,built_loss,test_site,200,200,83.68194160279263,64.8216027175764,64.8216027175764,0.47942197388933994,0.44751395865649124,0.5098218604100418,0.06230790175355061
fscs_200,00000000000000000316,built_loss,test_site,200,200,133.92975394335343,3.9503111471238768,3.9503111471238768,0.12294446523545764,0.11735735957616637,0.12885690395215052,0.011499544375984147
fscs_200,00000000000000000356,built_loss,test_site,200,200,100.16181997557722,93.77587370968267,93.77587370968267,0.5406531317246686,0.4962971825864805,0.5864523905154998,0.09015520792901932
fscs_200,00000000000000000362,built_loss,test_site,200,200,134.72465317095495,117.21298263883548,117.21298263883548,0.5648568748492845,0.5297745362131526,0.5890900246696467,0.05931548845649404
fscs_200,00000000000000000363,built_loss,test_site,198,195,134.14608850646255,70.725063981721,70.725063981721,0.24775782458450318,0.22617650116773333,0.26334534783800106,0.037168846670267736
fscs_200,00000000000000000364,built_loss,test_site,161,187,103.96214649542658,122.0714203083802,103.96214649542658,0.6157520075880053,0.5881450254310301,0.6487783713742491,0.06063334594321901
fscs_200,00000000000000000380,built_loss,test_site,200,200,131.7380625063684,74.36144693225557,74.36144693225557,0.5018639442758772,0.48262527478000555,0.5347158329305415,0.052090558150535926
fscs_200,00000000000000000384,built_loss,test_site,200,200,128.79933687126498,53.42931510556679,53.42931510556679,0.584179487276464,0.5649787631856448,0.6047389877794992,0.03976022459385442
fscs_200,0000000000000000039e,built_loss,test_site,200,200,138.25117478268047,17.23516820130209,17.23516820130209,0.4949980595341841,0.47367122414965,0.5153818878072166,0.04171066365756659
fscs_200,000000000000000003a1,built_loss,test_site,200,200,105.6856408226365,52.11210957359638,52.11210957359638,0.6160283645214796,0.5924212027720481,0.6482252995556886,0.05580409678364051
fscs_200,000000000000000003a5,built_loss,test_site,195,191,127.40465245309696,70.60898840478293,70.60898840478293,0.3933392852579359,0.3645926942257573,0.43614097035161814,0.07154827612586084
fscs_200,000000000000000003b7,built_loss,test_site,200,200,138.90879658800492,31.30654147136203,31.30654147136203,0.49232896087299666,0.4807846172069736,0.5058558414390416,0.025071224232068035
fscs_200,000000000000000003bf,built_loss,test_site,200,200,113.05668211678368,111.69729795412015,111.69729795412015,0.5342655540835044,0.5189609552895376,0.5617132429368142,0.04275228764727668
fscs_200,000000000000000003d2,built_loss,test_site,200,200,108.22926198836592,121.90647083126893,108.22926198836592,0.5959975707071276,0.5613450801011232,0.634134583623868,0.07278950352274483
