parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
00000000000000000181,stable_nature,1000,233,185,0.07442782480835404,0.26172531803093224,0.7785895316031113
00000000000000000181,stable_nature,2000,192,142,0.0919934586082487,0.28759096572456355,0.7576469087984805
00000000000000000181,stable_nature,3000,132,87,0.15968384826843043,0.32135854869269087,0.6680462069915962
00000000000000000181,stable_nature,4000,75,50,0.1631470055838051,0.34466993849995553,0.6787287082772607
00000000000000000199,stable_nature,0,300,212,0.026341982871080916,0.0832462388863205,0.7596276091589975
00000000000000000199,stable_nature,25,300,212,0.026341982871080916,0.0832462388863205,0.7596276091589975
00000000000000000199,stable_nature,50,300,212,0.026341982871080916,0.0832462388863205,0.7596276091589975
00000000000000000199,stable_nature,75,300,212,0.026341982871080916,0.0832462388863205,0.7596276091589975
00000000000000000199,stable_nature,100,299,212,0.026341982871080916,0.0832462388863205,0.7596276091589975
00000000000000000199,stable_nature,150,298,212,0.026341982871080916,0.0832462388863205,0.7596276091589975
00000000000000000199,stable_nature,200,298,211,0.026341982871080916,0.0832462388863205,0.7596276091589975
00000000000000000199,stable_nature,300,298,208,0.026341982871080916,0.0832462388863205,0.7596276091589975
00000000000000000199,stable_nature,500,293,196,0.026341982871080916,0.0832462388863205,0.7596276091589975
00000000000000000199,stable_nature,1000,279,179,0.026341982871080916,0.0832462388863205,0.7596276091589975
00000000000000000199,stable_nature,2000,227,159,0.02877331168794852,0.0832462388863205,0.7431402684514884
00000000000000000199,stable_nature,3000,169,138,0.02931262479956296,0.09020801487585431,0.754748427719914
00000000000000000199,stable_nature,4000,100,100,0.030433747263541533,0.09259836754060853,0.7526357462623442
000000000000000000b5,stable_crop,0,295,299,0.02246942276842574,0.04427773195261071,0.6633650848040192
000000000000000000b5,stable_crop,25,295,299,0.02246942276842574,0.04427773195261071,0.6633650848040192
000000000000000000b5,stable_crop,50,293,299,0.032476933965574675,0.04427773195261071,0.5768734893489148
000000000000000000b5,stable_crop,75,293,299,0.032476933965574675,0.04427773195261071,0.5768734893489148
000000000000000000b5,stable_crop,100,293,299,0.032476933965574675,0.04427773195261071,0.5768734893489148
000000000000000000b5,stable_crop,150,292,299,0.032476933965574675,0.04427773195261071,0.5768734893489148
000000000000000000b5,stable_crop,200,292,299,0.032476933965574675,0.04427773195261071,0.5768734893489148
000000000000000000b5,stable_crop,300,291,298,0.032476933965574675,0.04427773195261071,0.5768734893489148
000000000000000000b5,stable_crop,500,284,295,0.032476933965574675,0.04427773195261071,0.5768734893489148
000000000000000000b5,stable_crop,1000,244,277,0.03435544814219145,0.04809219821514046,0.5833058957938392
000000000000000000b5,stable_crop,2000,190,215,0.03435544814219145,0.05569005900339228,0.6184657154824533
000000000000000000b5,stable_crop,3000,129,132,0.047934979324497015,0.05569005900339228,0.5374189472108173
