parent_label,inner_m,outer_m,n_sites_valid,n_sites_total,median_dor,median_m_g,median_m_b,median_n_good,median_n_bad
stable_crop,3000,5000,521,523,0.4163941279595703,0.06278924726171398,0.035144778191654805,160.0,136.0
stable_crop,3000,6000,522,523,0.4158190323878532,0.06309637761141768,0.03512590288811908,160.0,135.5
stable_crop,3000,7000,523,523,0.4157118903006185,0.06278924726171398,0.035144778191654805,160.0,135.0
stable_crop,3000,8000,523,523,0.4157118903006185,0.06278924726171398,0.03510702758458335,160.0,135.0
stable_crop,4000,5000,521,523,0.40050676516852185,0.0702533131057457,0.03899203716949033,100.0,100.0
stable_crop,4000,6000,522,523,0.40013573377239603,0.07002017464134704,0.03888310178244685,100.0,100.0
stable_crop,4000,7000,523,523,0.3997647023762702,0.06978703617694837,0.03877416639540336,100.0,100.0
stable_crop,4000,8000,523,523,0.3997647023762702,0.06978703617694837,0.03877416639540336,100.0,100.0
stable_nature,0,1000,497,787,0.5383001964050473,0.06814807358131245,0.08337192972797672,16.0,19.0
stable_nature,0,2000,622,787,0.5711812408480841,0.050165837602168264,0.07051481944652377,66.0,66.0
stable_nature,0,3000,656,787,0.5697288575684656,0.04344161785718894,0.06493015851259434,147.5,145.0
stable_nature,0,4000,673,787,0.5720923216585939,0.04103286665909498,0.06166323280650861,200.0,200.0
stable_nature,0,5000,690,787,0.5697132549331835,0.038394039429752475,0.05886219564539864,300.0,300.0
stable_nature,0,6000,696,787,0.5710131906795857,0.038090315177145576,0.059096017207007454,300.0,300.0
stable_nature,0,7000,700,787,0.5714228533978101,0.038090315177145576,0.059152639102935625,300.0,300.0
stable_nature,0,8000,706,787,0.5737574121115623,0.03737419683263679,0.05974678256785659,300.0,300.0
stable_nature,500,1000,442,787,0.5267884888389263,0.08870424614112292,0.10739184082544972,12.0,14.0
stable_nature,500,2000,615,787,0.5654114307615608,0.055765436846287056,0.07707777387373041,62.0,60.0
stable_nature,500,3000,651,787,0.5689701713584502,0.04601755674727741,0.071522597274937,143.0,137.0
stable_nature,500,4000,669,787,0.5719886576582529,0.04331828414603105,0.0670528183710806,195.0,192.0
stable_nature,500,5000,687,787,0.5687803262718433,0.041308757379359615,0.06211634696199788,295.0,288.0
stable_nature,500,6000,693,787,0.569855131111968,0.04103286665909498,0.06211634696199788,295.0,291.0
stable_nature,500,7000,698,787,0.5703998836558122,0.04087957072520271,0.0627069432854412,295.0,291.0
stable_nature,500,8000,706,787,0.5720421231862391,0.04071645282244814,0.06347518036787697,295.0,291.0
stable_nature,1000,2000,594,787,0.5572206439335909,0.06211652235245574,0.08956867538663763,49.0,49.0
stable_nature,1000,3000,637,787,0.5652368395371964,0.04959739512675136,0.07770092229608364,129.0,121.0
stable_nature,1000,4000,657,787,0.5641946654687677,0.04623014262641012,0.07103766483105742,181.0,176.0
stable_nature,1000,5000,685,787,0.5668024068166307,0.04340527765262381,0.06628059956673975,281.0,269.0
stable_nature,1000,6000,693,787,0.5670023551018215,0.04324701965227129,0.06628059956673975,281.0,273.0
stable_nature,1000,7000,698,787,0.5677847450432014,0.043011732019274274,0.06643052529163895,281.0,273.0
stable_nature,1000,8000,706,787,0.5684328015491836,0.042761497319569755,0.06678512924586193,281.0,271.5
stable_nature,2000,3000,570,787,0.564608877167205,0.05859201524929106,0.08926004208296713,78.5,71.0
stable_nature,2000,4000,592,787,0.5688663499741177,0.05114093080088857,0.08198907018319967,131.0,123.0
stable_nature,2000,5000,682,787,0.5639366584327423,0.047964973991570604,0.07165670742301428,230.0,212.5
stable_nature,2000,6000,692,787,0.5664580595160827,0.04759251375878702,0.07232120229721056,230.0,213.0
stable_nature,2000,7000,697,787,0.5680272159821155,0.047719355880783285,0.07248976154057112,230.0,213.0
stable_nature,2000,8000,705,787,0.5709234842846139,0.04746567163679076,0.07274333799167451,230.0,213.0
stable_nature,3000,4000,406,787,0.564030526482318,0.06733145476475531,0.09826441033600339,52.0,60.5
stable_nature,3000,5000,675,787,0.5643770502989031,0.05409929600692635,0.07714419433281805,149.0,134.0
stable_nature,3000,6000,689,787,0.5640669382401338,0.053039880301705276,0.07801804688515653,149.0,136.0
stable_nature,3000,7000,695,787,0.5646886784851888,0.0532673487391907,0.0787865379400843,149.0,135.0
stable_nature,3000,8000,703,787,0.5646886784851888,0.0532673487391907,0.07871985997421276,149.0,134.0
stable_nature,4000,5000,667,787,0.5631248595067488,0.0620998173281486,0.08485502063740451,100.0,100.0
stable_nature,4000,6000,685,787,0.5639168310062066,0.06140094838890857,0.08594441798020831,100.0,100.0
stable_nature,4000,7000,693,787,0.5656168184132724,0.06066323507928584,0.0862872541082843,100.0,100.0
stable_nature,4000,8000,702,787,0.5657836671154393,0.060572908448795836,0.08594199590986953,100.0,100.0
