PLOTID,parent_id,longitude,latitude,group,ghm_aa
a-35-74116308327119_-9-65733930602203,,-35.741163083270266,-9.657339306015398,stable_natural,0.8233705163002014
a41-86249941640571_37-95215961905633,,41.862499416406,37.95215961903486,stable_artificial,0.9406677484512329
a105-04244986088742_14-4565061330214,,105.0424498608878,14.456506133018898,stable_natural,0.34300363063812256
a13-50271317053095_-9-05666099231575,,13.502713170531976,-9.05666099231222,stable_natural,0.7158007025718689
a7-47902167073414_35-86240227772955,,7.479021670733807,35.86240227771709,stable_natural,0.28918546438217163
a-9-09440964829485_31-50154265546187,,-9.094409648292611,31.50154265544748,stable_natural,0.43855953216552734
a24-90099368403411_60-37214667833241,,24.90099368404114,60.37214667829392,stable_natural,0.5642485022544861
a-76-65055584575146_-0-76141997966394,,-76.65055584575208,-0.7614199796638097,stable_natural,0.00244183000177145
a10-77605630044143_34-77226068230407,,10.776056300441564,34.772260682290096,stable_artificial,1.0
a144-10849475562486_-34-60987053797149,,144.10849475562532,-34.60987053795705,stable_natural,0.002664953703060746
a27-74278044920599_-28-16004794711108,,27.742780449204368,-28.160047947101432,stable_artificial,0.9872942566871643
a148-27829915249166_-28-47141134052537,,148.2782991524922,-28.471411340510837,stable_natural,0.04070457071065903
a120-22014427020964_-5-51585263618616,,120.22014427021078,-5.515852636186349,stable_natural,0.6901136636734009
a-3-66250007351889_9-97096522139156,,-3.662500073517109,9.970965221389326,stable_natural,0.0652163028717041
a148-36467362546165_-31-53139482920032,,148.3646736254642,-31.531394829184705,stable_natural,0.2963465750217438
a18-64157724655863_-33-82035775194097,,18.64157724656056,-33.82035775192381,stable_artificial,0.9871315956115723
a101-8289719005493_6-42422784937172,,101.82897190054744,6.424227849366988,stable_natural,0.9788240790367126
a27-33741953351148_-29-18829960712255,,27.337419533510747,-29.188299607110075,stable_natural,0.41996440291404724
a40-29107047350197_37-20512747264486,,40.29107047350276,37.20512747262547,stable_natural,0.3592525124549866
a120-20039311188202_32-48314671366173,,120.20039311188032,32.48314671364807,stable_natural,0.7476089000701904
a-76-9594474711711_-12-13534372327534,,-76.95944747117144,-12.13534372326762,stable_artificial,0.9957864880561829
a-106-437405040906_43-80757496929126,,-106.4374050409062,43.80757496927635,stable_natural,0.12157454341650009
a142-6932100188355_-33-65360210419643,,142.69321001883674,-33.653602104182184,stable_natural,0.03187978267669678
a46-46115592635168_6-05927820135538,,46.46115592635076,6.059278201353912,stable_natural,0.09933027625083923
a-63-37151399430618_-30-26368810127425,,-63.37151399430307,-30.26368810126256,stable_natural,0.04602411761879921
a-56-32066940986969_-26-12446538780294,,-56.32066940986965,-26.12446538779644,stable_natural,0.3245449960231781
a134-12445072910415_46-00877424000551,,134.1244507291024,46.00877423998669,stable_natural,0.34373870491981506
a13-01051839359272_32-67439141989518,,13.010518393593628,32.674391419878674,stable_artificial,0.5144580602645874
a-95-1737548207114_33-25131291986718,,-95.17375482071223,33.251312919849994,stable_natural,0.06749429553747177
a10-76138316460722_34-73992507091833,,10.761383164608826,34.7399250709039,artificial_reversion,0.9925761818885803
a-63-90257952520604_-24-48943945519103,,-63.9025795252046,-24.489439455181437,stable_natural,0.37916409969329834
a100-3521495150847_7-61695194258002,,100.35214951508308,7.616951942576932,stable_artificial,0.4265477657318115
a-64-02084111175321_-36-23390030721596,,-64.02084111175182,-36.23390030720232,stable_natural,0.3822319507598877
a-88-59690757096402_15-69076398394298,,-88.59690757096241,15.69076398393877,stable_natural,0.31143125891685486
a28-2698518509372_-29-59393940941688,,28.26985185093869,-29.5939394094054,stable_natural,0.9269853234291077
a71-14533644004186_30-30782268319817,,71.14533644004149,30.30782268318967,stable_natural,0.4322364032268524
a89-8679657347864_22-75210773237205,,89.86796573478668,22.75210773235985,stable_natural,
a33-78459533868196_-16-17230583243078,,33.784595338680845,-16.172305832428243,stable_artificial,0.9961408972740173
a8-02022261870105_35-27738734781482,,8.020222618703045,35.277387347802986,stable_natural,0.40877386927604675
a-78-70427055538839_26-54639966522817,,-78.70427055538704,26.546399665215347,stable_artificial,0.9862373471260071
a71-37941954627169_21-3300894693072,,71.37941954627055,21.330089469300518,stable_artificial,0.9697749614715576
